"Identifier","Conditions","Message","Choice1","Choice2","Outro1","Outro2"
"MWG1",,"As the sun sets, you see a small hut ahead of you, nestled between the trees. You pause, considering whether or not to investigate, but before you can decide, a group of men and women dressed like {character:mentor:name} steps out from behind the trees, surrounding you.

""What are YOU doing here?"" {character:guardian:subPronoun} asks.","Ask them what THEY are doing here","Tell them you're here to free Lakeville from {character:baron:baron} {character:baron:name}","""We're fighting against the {character:baron:baron}'s influence, to free the villages he's conquered from his control."" You share that you're trying to do the same thing.

You spend the night with the resistance fighters. They have a plan to draw off {character:baron:possPronoun} men while you infiltrate the Tower. If you can find a way to cut {character:baron:objPronoun} off from {character:baron:possPronoun} men, they tell you, the {character:baron:baron} won't have any power over the villages any more.

In the morning, you set off for the Tower again.","""We're on the same side then! Have you met our friend {character:ranger:name}? {character:ranger:subPronoun:cap}'s out somewhere, fighting against the {character:baron:baron}'s influence.""

You spend the night with the resistance fighters. They have a plan to draw off {character:baron:possPronoun} men while you infiltrate the Tower. If you can find a way to cut {character:baron:objPronoun} off from {character:baron:possPronoun} men, they tell you, the {character:baron:baron} won't have any power over the villages any more.

In the morning, you set off for the Tower again."
"WAT1",,"As you head toward the Tower, late that day, on your left, you see a field of berry bushes, overflowing with red berries. Your food is running low, and you feel hungry.","Gather and enjoy some berries","Avoid the patch and press on","You gather and eat some of the berries. They are delicious.

You begin to feel sleepy, and soon fall asleep in the middle of the berry patch. When you wake up, the sun is high in the sky. You have no idea how long you've been asleep—it could have been days!","Your stomach growls, but you continue on your way. As your food supply dwindles, your limbs grow weaker."
"AWF1",,"You finally arrive at the base of the Tower. Staying out of view of any of the {character:baron:baron}'s men, you find the hidden path into the Tower on {character:ranger:name}'s map. The hidden path leads underground, and comes out into a tall, well-decorated corridor inside the Tower.

The {character:baron:baron} is walking down the hall with one of {character:baron:possPronoun} men. You find a place to hide, and you can here them talking.

""stands at the entrance to the room, {character:baron:possPronoun} sword leveled at you as {character:baron:subPronoun} approaches slowly.",,,,
"A1",,,,,,
"UB1",,,,,,
"ROR1",,,,,,
"MF1",,,,,,
"RFW1",,,,,,
"CRT1",,,,,,
"MOTW1",,,,,,
"FTL1",,,,,,
