"Identifier","Conditions","Message","Choice1","Choice2","Outro1","Outro2"
"BOTW1a",,"Two more men grab your arms and bind them. You're taken to a camp on a rise in the {location:current:type} about an hour away. The {character:baron:baron}'s men tie you to a nearby tree and spend the night drinking and making coarse jokes.

Most of them have fallen asleep, but there is still one awake, on guard, staring into the fire. He isn't looking directly at you, you could try to escape while he isn't looking. What do you do?","Wiggle out of your bonds and sneak into the night","Wait until morning for a chance to escape","It takes you over an hour, but you eventually feel the bonds loosening enough that you can slip out of them. The lone guard is still staring into the fire, poking at it with his sword and humming.

You grab your pack silently and disappear into the night, using the stars to head in the direction of {location:goal:namewiththe}.","You close your eyes and eventually fall into a fitful sleep.

Hours later you feel someone removing your bonds. It's still night out. You turn to look and see {character:ranger:name}'s face. ""Didn't think I'd find YOU when I came to investigate. Stay quiet."" {character:ranger:subPronoun:cap} finishes cutting your bonds with {character:ranger:possPronoun} knife, you grab your pack, and the two of you slip quietly into the night.

You travel for a few minutes away from the camp before you realize {character:ranger:name} is gone. The sun begins to rise as you silently make your way toward {location:goal:namewiththe}."
"BOTW2","location:current:forest|location:current:mountain","{if:location:current:forest:The [location-current-type] is dense here, overgrown and difficult to travel through.}{if:location:current:mountain:The mountain pass is rough here. In many places, you have to climb on all fours to make it over the enormous, jagged rocks.}

After a day or so, it begins to rain heavily. You take shelter in a nearby cave, making your bed in a small alcove. You go to sleep to wait out the rain.

When you wake up, you hear something else moving in the cave. Opening your eyes, you see two enormous bears, sitting between your alcove and the door. It's still raining outside. They seem to be laying down to sleep. What do you do?","Try to scare them out of the cave so you can leave","Wait until they go to sleep, then sneak out","You get up suddenly, shouting and waving your arms threateningly.

The bears are startled at first, but then rear up on their hind legs as well, roaring threateningly. They aren't backing out, but they do leave you enough room to sneak between them, deftly dodging their sharp claws.

You make it out{if:noitem:pack: and set off at a run for [location-goal-namewiththe].}{if:item:pack:, but the bears rip your pack off of your back. Your bedroll, all your food, and anything else you had in your pack is gone. You'll have to forage for food and sleep on the ground from now on.[|REMOVE-pack|][|REMOVE-map|]}","It seems like it takes an eternity, but eventually, as it's getting dark outside again, the two bears settle down, nestled up against each other. You wait until you're absolutely sure they're asleep. Then, very, very quietly, you gather your bedroll and sneak past them out of the cave. The rain has stopped by now, and the {location:current:type} is quiet and dark."
"ROT1","location:current:forest|location:current:mountain|location:current:swamp|location:current:plains","The next day, a small creature runs across your path. You almost step on it.

You squat down to look at it. It seems like some sort of squirrel, but it's eyes are ruby red. It sits still, staring at you, alert.{|SET:squirrel:exists|}","Give it some of your food","Ignore it","{if:noitem:pack:You don't have much food without your pack, but you share a bite of some you foraged earlier. }The squirrel seems appreciative{if:noitem:pack: anyway}, and chirps happily. It looks deep into your eyes, then it scampers off into the {location:current:type}.","The squirrel watches you as you leave, then scampers off."
"ROT2","location:current:town|location:current:forest|location:current:swamp","{character:pick:current:child:petowner}Late in the day, you hear a voice calling out through the {location:current:type}. You hide immediately, but then realize the voice seems to be that of a young {character:petowner:sexAge}. You can see {character:petowner:objPronoun} walking alone, calling out for {character:petowner:possPronoun} cat. What do you do?","Reveal yourself and offer to help","Wait until {character:petowner:subPronoun}'s gone and continue","You step out of hiding, startling the {character:petowner:sexAge} briefly. {character:petowner:subPronoun:cap} seems thrilled to have the help. {character:petowner:subPronoun:cap} tells you {character:petowner:possPronoun} name is {character:petowner:name}, and {character:petowner:possPronoun} cat's name is Sniffles.

Together, it takes you a few hours to find Sniffles. {character:petowner:name:cap} thanks you profusely for your help, and Sniffles licks your hand. Then, you continue on your way to {location:goal:namewiththe}.","{character:petowner:subPronoun:cap} continues calling and passes out of earshot in a few minutes. Then, you continue on your way to {location:goal:namewiththe}."
"ROT3","location:current:forest&squirrel:exists","You're being careful, but you don't notice a well-concealed pit before it's too late. You step through the thin covering of leaves and ferns and fall right through to the bottom, landing with a crunch.

Your leg hurts. You look up: the pit's sides are sheer hard dirt, about 15 feet deep. There are no roots, nothing down there with you besides dirt and whatever you have with you.","Try to climb out","Call for help","There's nothing to grab onto, but you dig your fingernails and toes into the dirt as best you can, trying to find rocks or roots to hold onto.

You fall a few times, but you make progress. The pain in your leg blends with the pain in the rest of your body. Very slowly, you make your way to the top. Your fingers are bleeding, your wrists hurt.","Your voice rings out into the {location:current:type}. No one answers.

After a few minutes, you hear skittering and see the squirrel peek its head into view. Then it disappears.

A minute later, a rope woven from nearby ferns and grasses drops down into the pit with you. The squirrel reappears, it's red eyes flashing, before it disappears again.

You climb easily out of the pit. The squirrel is nowhere to be seen."
"ROT4","character:baron&baronclaimshometown:true&character:taken","At night, you wonder how your friend {character:taken:name} is right now. It's been a long time since {character:taken:subPronoun} was taken to {location:baronhome:namewiththe} by the {character:baron:baron}'s men.","Worry about what's happened to {character:taken:name}","Try to sleep","You stay up staring into the fire wondering whether or not {character:taken:name} is safe. It's late before you fall asleep{if:noitem:pack:, lying on the bare ground}. You're tired the next morning.","You turn over and do your best to fall asleep.{if:noitem:pack: The ground is hard beneath you, with no bedroll.} The next morning comes {if:noitem:pack:slowly}{if:item:pack:quickly}. The sun is rising. You set out for {location:baronhome:namewiththe}, hoping to find {character:taken:name} there."
"ROT5","location:current:plains&character:mentor","You're in the middle of {location:current:namewiththe}, tall grass as far as the eye can see. The sun is hot, you're almost out of water, and there's no shade anywhere. What do you do?","Dismantle your pack to make a small tent for shade","Push on in the heat, looking for water","Using the leather in your pack, you create a very small tent to hide under during the heat of the day. You travel at night, when the moon is out and {location:current:namewiththe} are cooler.","You push through the tall grass, your head pounding from dehydration, looking for water anywhere. After a few hours of this, you collapse, unable to move farther.

Sometime later, you feel someone grabbing your shirt and splashing water in your face. Opening your eyes, you see {pick:character:current:mentor:waterskin}{character:waterskin:name} crouching over you, emptying a waterskin slowly. “You can't travel in heat like this, you almost died. Here.” {character:waterskin:subPronoun:cap} gives you the waterskin to drink from. You empty it in a few gulps.

“Carry extra water next time. Take this,” {character:waterskin:name} says, taking the empty waterskin and giving you a full one. “I've got a spare.” With that, {character:waterskin:subPronoun} disappears into the grass. {|GIVE:extrawaterskin:[character-waterskin-name]'s waterskin:An extra waterskin [character-waterskin-name] gave you in [location-current-namewiththe]|}"
"ROT6","location:current:mountain","Between you and {location:goal:namewiththe} lies a steep slope, rising sharply into the sky. Rocky handholds jut out through the loose pebbles covering the slope.

You begin to climb, moving carefully from handhold to handhold. About halfway up, the stone under your right foot comes loose, sending rocks and pebbles sliding down the mountain. Your right hand seems to be holding a stable rock for now.","Ride the sliding rocks back down the slope","Hold on with all your might","Letting go, you slide down the slope, dislodging more rocks as you slide. You hear tremors that threaten an avalanche, but you don't see one just yet.

When the skittering stones stop, you resume your climb to the top. You have more ground to make up, but you're careful not to pull any more stones loose. It's late when you reach the top.

You continue on your way to {location:goal:namewiththe}.","You grab with your left hand over your right. You have nothing solid to stand on as rocks and dust slide beneath you and around your hands. Your arm muscles strain to keep hold, your feet kicking against the moving slope.

Soon, the rockslide stops. You finish climbing to the top. Then, you continue on your way to {location:goal:namewiththe}."
"ROT7","location:current:swamp","You're wading through murky water in {location:current:namewiththe}. Suddenly, the water around you begins to move. You're surrounded by crocodiles, each one as long as your outstretched arms. What do you do?","Fight them off","Run for it","One lunges for you, mouth open. You knock it on the snout with a nearby branch and poke it in the eyes. You scramble madly to shore, waving your branch at any of them that come close to you. One of them bites you in the leg, but a forceful knock between the eyes loosens their grip.

Your leg is bleeding as you stumble out on to rocky ground. The crocodiles don't seem to want to follow you there.

After putting some distance between yourself and the crocodiles, you wrap up your leg and continue on your way to {location:goal:namewiththe}.","You start moving for shore immediately, quickly but without trying to attract attention. One of them starts accelerating toward you as you approach land, its eyes floating above the water as it swims. You scramble madly out of the water and onto rocky ground just before it gets to you. It doesn't seem to want to follow you there.

After putting some distance between yourself and the crocodiles, you wrap up your leg and continue on your way to {location:goal:namewiththe}."
"ROT8","location:current:plains","In the distance, you see a copse of trees, and you head for them, eager to find some shade from the hot sun. You find shade and a small freshwater pond, an ideal resting place.

Suddenly, an angry badger emerges from a nearby den. It bares it teeth and growls as it approaches, defending its territory against this new intruder.","Leave the badger's territory","Try to pacify it with food","You back away slowly, returning to the hot sun in {location:current:namewiththe}. Glancing over your shoulder, you can see the badger watching you intently from afar as it disappears below the horizon.","Taking your food out of your pack, you toss some on the ground near the badger. Initially, it thinks you're attacking it, and becomes more aggressive. You back off. Eventually, it realizes you offered it food. You toss it some more. Slowly, it becomes less hostile, and lets you share its copse, but much of your food is gone.

The shade is a welcome respite from the hot sun. You stay the rest of the day under the watchful eye of the badger. You even manage to catch a few fish in the pond and collect some firewood. Later that day, with night falling, you set out again for {location:goal:namewiththe}, the badger's gaze disappearing eventually below the horizon."
"ROT9","location:current:mountain","This high up in {location;current:namewiththe}, the air is thin and cold. Your arms and legs begin to feel weak, and breathing is harder.","Take a break to adjust to the altitude","Power through to the other side of the mountain","You sit on a nearby stone for a few hours, resting up. After a while, you feel fresh enough to start again. Your legs still feel weaker than usual, but with your newfound strength, you can push on easily toward {location:goal:namewiththe}.","Your legs are weak, but through sheer force of will you make them move, over stones and boulders, through trees and brush. You feel like you'll drop dead from the exertion, but you press on.

Finally, you see the ground begin to slope down under you. You've reached the other side! Your legs regain strength as you hike down {location:current:namewiththe}, toward {location:goal:namewiththe}."
"MWG1","character:baron&baronclaimshometown:true&goal:baronhome&character:ranger&location:current:forest|location:current:swamp|location:current:mountain|location:current:plains","As the sun sets, you see a small hut ahead of you, {if:location:current:forest:nestled between the trees}{if:location:current:swamp:surrounded by bog water}{if:location:current:mountain:hiding between two huge rocks}{if:location:current:plains:nearly hidden by the tall grass and shrubbery}. You pause, considering whether or not to investigate, but before you can decide, a group of men and women dressed like {character:ranger:name} {if:location:current:forest:steps out from behind the trees}{if:location:current:swamp:steps out from behind trees and vines}{if:location:current:mountain:steps out from behind nearby boulders}{if:location:current:plains:stands up from their hiding places in the tall grass}, surrounding you.

""What are YOU doing here?"" one of them asks you.","Ask them what THEY are doing here","Tell them you're here to free {location:hometown:name} from {character:baron:baron} {character:baron:name}","""We're fighting against the {character:baron:baron}'s influence, to free the villages {character:baron:subPronoun}'s conquered from {character:baron:possPronoun} control."" You share that you're trying to do the same thing.

You spend the night with the resistance fighters. The {character:baron:baron}'s men, they tell you, are only working for {character:baron:objPronoun} because {character:baron:subPronoun} pays them handsomely. If you can find a way to stop the {character:baron:baron}'s men from being paid, most of {character:baron:possPronoun} influence over the region will be gone.

They have plans to attack one of the {character:baron:baron}'s outposts tomorrow, which should draw most of {character:baron:possPronoun} men away from {location:baronhome:namewiththe}, allowing you to get inside more easily.

In the morning, you set off for {location:goal:namewiththe} again.{|SET:metbaronresistance:true|}","""We're on the same side then! Have you met our friend {character:ranger:name}? {character:ranger:subPronoun:cap}'s out there somewhere, fighting against the {character:baron:baron}'s influence.""{almanac:[character-ranger-name]:part of a group of resistance fighters}

You spend the night with the resistance fighters. The {character:baron:baron}'s men, they tell you, are only working for {character:baron:objPronoun} because {character:baron:subPronoun} pays them handsomely. If you can find a way to stop the {character:baron:baron}'s men from being paid, most of {character:baron:possPronoun} influence over the region will be gone.

They have plans to attack one of the {character:baron:baron}'s outposts tomorrow, which should draw most of {character:baron:possPronoun} men away from {location:baronhome:namewiththe}, allowing you to get inside more easily.

In the morning, you set off for {location:goal:namewiththe} again.{|SET:metbaronresistance:true|}"
"WAT1","location:current:forest|location:current:swamp|location:current:plains","As you head towards {location:goal:namewiththe}, late that day, on your left, you see a large patch of berry bushes, overflowing with red berries. Your food is running low, and you feel hungry.","Gather and enjoy some berries","Avoid the patch and press on","You gather and eat some of the berries. They are delicious.

You begin to feel sleepy, and soon fall asleep in the middle of the berry patch. When you wake up, the sun is high in the sky. You have no idea how long you've been asleep; it could have been days!","Your stomach growls, but you continue on your way. As your food supply dwindles, your limbs grow weaker."
"WAT2","location:current:mountain","The next day finds you deep in {location:current:namewiththe}, surrounded by mountain peaks in every direction.

On the side of the pass, you notice an abandoned camp under an overhang, with the embers of a fire and a half-eaten meal. The food looks delicious, the fire looks warm, and there are no packs or bags anywhere. Your food is running low. What do you do?","Stop to eat the food and enjoy the fire","Avoid the camp and push on","You turn off the trail, sit down on a stone near the firepit, and finish the half-eaten meal. It's very good. You wonder what could have made someone abandon their camp up here in {location:current:namewiththe}.

When you're done, you rest under the overhang. You still feel sleepy when you wake up, but you set out for {location:goal:namewiththe} anyway, up the mountain pass.","You carry on, avoiding the tempting food. Whoever left the camp surely had a good reason to, and you don't want to stick around to find out what it was. You press on for {location:goal:namewiththe}, hiking through the mountain pass."
"AWF1.1","character:baron&baronclaimshometown:true&goal:baronhome&item:map","You finally arrive at the base of {location:baronhome:namewiththe}. Staying out of view of any of the {character:baron:baron}'s men, you find the hidden path into {location:baronhome:namewiththe} on {character:ranger:name}'s map. The hidden path leads underground, and comes out into a tall, well-decorated corridor inside {location:baronhome:namewiththe}.{if:character:taken: You look around for any sign of [character-taken-name].}{|AWF1a|}",,,,
"AWF1.2","character:baron&baronclaimshometown:true&goal:baronhome&noitem:map","You finally arrive at the base of {location:baronhome:namewiththe}. Staying out of view of any of the {character:baron:baron}'s men, you look for a way in. There's a patrol of guards circling {location:baronhome:namewiththe}. You think you can find a way in between them, but it would be tough. What do you do?","Sneak past the guards","Take out one of the guards silently, then sneak inside","You have to wait until nightfall to sneak in. The darkness covers your movements, and you sneak in through a gap in the patrol you've found.

Inside {location:baronhome:namewiththe}, you look around for {if:character:taken:any sign of [character-taken-name]}{if:nocharacter:taken:the treasury}. While you're looking, you hear voices.{|AWF1a|}","Jumping out from your hiding place as a guard comes by, you take him out quickly and quietly. You drag the body behind a bush before quickly making your way inside {location:baronhome:namewiththe} in the gap in the patrol.

Inside {location:baronhome:namewiththe}, you look around for {if:character:taken:any sign of [character-taken-name]}{if:nocharacter:taken:the treasury}. While you're looking, you hear voices.{|AWF1a|}"
"AWF1a",,"{|GOTO:goal|}The {character:baron:baron} is walking down the hall with one of {character:baron:possPronoun} men. You find a place to hide, and you can hear them talking.

""...if they resist, remind them that, if the kingdoms from the north attack, they will not be able to defend themselves. Under our rule, we will provide them with protection against invasion. What is that safety worth to them?...""

The voices fade away as they turn a corner and are gone.",,,,
"A1","character:baron&baronclaimshometown:true&location:current:baronhome","Descending into the dungeon, you find {if:character:taken:[character-taken-name] locked up with a bunch of other young people}{if:nocharacter:taken:a bunch of young people locked up there}. It seems they've been locked up {if:character:taken:here} for some future purpose of the {character:baron:baron}. You set them all free.",,,,
"UB1","character:baron&baronclaimshometown:true&location:current:baronhome","Searching in {location:current:namewiththe}, you finally find the treasury. You take out the lone guard, and go inside. Several heavy chests of gold are inside.

Once the gold is gone, the {character:baron:baron} will have nothing to pay {character:baron:possPronoun} army with, and {character:baron:possPronoun} hold over the region will eventually be gone. What do you do with the gold?","Dump it through the window for the guards outside","Sneak it outside and make sure no one will find","Propping a heavy chest on the windowsill, you open it and pour the coins out the window onto the ground several stories below. You hear voices below: the guards have noticed, and are fighting over the gold among themselves.

As you keep pouring, the shouts of joy increase. It sounds like the {character:baron:baron} had recruited men from the poorer villages {character:baron:subPronoun} had conquered, promising them good pay in exchange for their service to {character:baron:objPronoun}. Many of the guards below take as much gold as they can and run, returning to their homes and families.

In a few minutes, the {character:baron:baron}'s gold is gone.

You take a few gold coins for yourself from the last chest before you dump it. Just a few, not enough to slow you down.{|GIVE:goldcoins:A few gold coins:from the [character-baron-baron]'s treasury chests|}","It takes hours, but you manage to lug each chest of gold outside of {location:current:namewiththe} through {if:item:map:the hidden passage}{if:noitem:map:openings in the guard patrol}. With no shovel, you can't bury the chests. You want to make sure no one can ever find the gold again.

Wading into a nearby lake, you open the chests and dump the gold coins as deep into the lake as you can. The lake will pull them under the muck on the bottom, and no one will ever find them. The {character:baron:baron}'s gold is gone.

You take a few gold coins for yourself from the last chest before you dump it. Just a few, not enough to slow you down.{|GIVE:goldcoins:A few gold coins:from the [character-baron-baron]'s treasury chests|}"
"ROR1","character:baron&baronclaimshometown:true&location:current:baronhome","You leave {location:current:namewiththe}.{|SET:goal:hometown|}",,,,
